Cep,Rua,Bairro,Lat,Lng
58401470,Rua Estelita Cruz,Alto Branco,-7210484000000000,-35879954
58401474,Rua Ordenez Trovão de Melo,Alto Branco,-72074791,-358779075
58401476,Travessa Ordenez Trovão de Melo,Alto Branco,-72074791,-358779075
58401480,Rua Arnaldo de Albuquerque,Alto Branco,-7209087899999990,-358783381
58401485,Rua Félix Carolino Barbosa,Alto Branco,-7208189199999990,-358768785
58401490,Avenida Manoel Tavares,Alto Branco,-7207237199999990,-358753835
58401494,Rua Conselheiro Paulo Araújo Soares,Alto Branco,-7206644400000000,-358776818
58401500,Avenida Manoel Tavares,Alto Branco,-7207237199999990,-358753835
58401515,Rua Salviano da Costa Agra,Alto Branco,-72044274,-358765194
58401522,Travessa Mestre Honório,Alto Branco,-72057139,-358757439
58401528,Rua Apolônio Amorim,Alto Branco,-72049822,-358781441
58401532,Rua Francisco Abílio,Alto Branco,-7204269299999990,-358758436
58401536,Rua Salviano da Costa Agra,Alto Branco,-72044274,-358765194
58401540,Rua Manoel Claudino de Lima,Alto Branco,-72040327,-358765266
58401544,Rua Constância Francisca Urtiga,Alto Branco,-72034834,-358761049
58401548,Avenida Manoel Tavares,Alto Branco,-7207237199999990,-358753835
58401562,Rua Francisco Justino do Vale,Alto Branco,-7200638100000000,-358780372
58401566,Rua Sérgio Rodrigues de Oliveira,Alto Branco,-238134554,-45364033
58401570,Rua Edvaldo Holanda Moreira Borges,Alto Branco,-7200900399999990,-35878679
58401624,Rua Doutor Vasconcelos,Alto Branco,-7204834900000000,-358809103
58401627,Rua Doutor Vasconcelos,Alto Branco,-7204834900000000,-358809103
58401642,Rua Frei Damião de Bozzano,Alto Branco,-22814358,-472007527
58401644,Rua Maria das Neves Diniz de Oliveira,Alto Branco,Nan,Nan
58401646,Rua Doutor Francisco Nogueira,Alto Branco,-7198945499999990,-358805108
58401650,Rua Ezequiel Rodrigues de Sousa,Alto Branco,-7199270799999990,-3588133130000000
58401654,Rua Antônio Bezerra Paz,Alto Branco,-71998541,-358814661
58401658,Rua Miriam de Lourdes Lima,Alto Branco,-72004445,-358814506
58401682,Rua Jessé Barbosa de Menezes,Alto Branco,-72006897,-358830222
58401686,Rua Genaro Cavalcante Queiroz,Alto Branco,-7201331700000000,-35882975
58401690,Rua Manoel Elias de Castro,Alto Branco,-72027714,-358825859
58401694,Rua Vereador Benedito Mota,Alto Branco,-72031083,-358815016
58401696,Rua Presidente Roosevelt,Alto Branco,-29765807,-511456934
58401698,Rua Capitão Adhemar Maia Paiva,Alto Branco,-7202113099999990,-358835877
58401700,Rua Higino Macedo Dantas,Alto Branco,-7203164199999990,-358832595
58401705,Rua Papa Pio X,Alto Branco,-230139134,-469737724
58401710,Rua Marechal Cândido Rondon,Alto Branco,-249500965,-534639028
58401714,Rua Henrimar Castro de Oliveira,Alto Branco,-7205789200000000,-358844894
58401718,Rua Vereador Benedito Mota,Alto Branco,-72031083,-358815016
58401722,Rua Doutor Vasconcelos,Alto Branco,-7204834900000000,-358809103
58401726,Rua Deputado Norberto Leal,Alto Branco,-72077089,-358802096
58401730,Rua Manoel Elias de Castro,Alto Branco,-72027714,-358825859
